City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,ben gardane,33.1378,11.2197,30.03,13,0,5.79,TN,1711875706
345,omdurman,15.6445,32.4777,32.46,8,72,5.29,SD,1711875706
346,pont rouge,48.8833,-72.0825,-4.94,80,41,4.87,CA,1711875707
347,ketchikan,55.3422,-131.6461,6.26,100,100,3.6,US,1711875707
348,key west,24.5557,-81.7826,22.78,64,0,5.36,US,1711875707
349,puerto baquerizo moreno,-0.9,-89.6,24.65,82,79,4.02,EC,1711875608
350,buta,2.7858,24.73,26.59,72,100,1.9,CD,1711875708
351,tura,25.5198,90.2201,36.24,20,1,5.73,IN,1711875709
352,cumberland,35.0502,-78.8664,15.83,58,0,4.63,US,1711875551
353,sydney,-33.8679,151.2073,22.61,79,0,4.63,AU,1711875475
354,ginir,7.1333,40.7,22.89,45,32,3.19,ET,1711875710
355,tucuma,-0.1833,-50.05,24.67,94,100,1.91,BR,1711875682
356,trenggalek,-8.05,111.7167,28.71,73,78,2.45,ID,1711875711
357,trinity beach,-16.7888,145.6968,26.94,69,100,3.6,AU,1711875711
358,gambela,8.25,34.5833,38.64,26,100,3.04,ET,1711875712
359,uliastay,47.7417,96.8444,6.74,69,100,1.46,MN,1711875712
360,as sulayyil,20.4607,45.5779,21.14,42,100,6.92,SA,1711875712
361,uturoa,-16.7333,-151.4333,28.94,76,64,8.69,PF,1711875713
